순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
512,한지민(충훈고),14,0.178,56,45,8,2,1,0,3,3,8,13,0.296,0.267,0
512,윤종천(효천고),17,0.178,65,45,8,1,0,0,4,5,14,19,0.373,0.2,1
512,윤주원(부산공고),14,0.178,56,45,8,1,0,0,0,9,9,11,0.315,0.2,1
512,구장익(마산고),15,0.178,64,45,8,0,0,0,9,8,18,14,0.413,0.178,1
517,김웅(장안고),17,0.177,66,62,11,3,0,0,7,6,2,19,0.203,0.226,0
518,이재원(경동고),18,0.176,71,51,9,3,1,0,6,11,10,14,0.302,0.275,0
518,이호건(대전제일고),15,0.176,61,51,9,1,0,1,8,6,9,16,0.295,0.255,2
518,김형민(동성고),29,0.176,90,68,12,3,1,0,10,10,17,20,0.333,0.25,4
518,양인호(효천고),17,0.176,61,51,9,1,1,0,6,6,10,16,0.311,0.235,1
518,서유찬(영선고),16,0.176,45,34,6,1,0,0,3,5,10,14,0.364,0.206,4
518,석현준(송탄제일고),18,0.176,60,51,9,1,0,0,4,4,9,14,0.3,0.196,2
518,방민석(강원고),14,0.176,39,34,6,0,0,0,2,1,5,13,0.282,0.176,0
525,이종훈(인창고),14,0.175,53,40,7,3,2,0,5,3,10,12,0.34,0.35,1
526,고희승(율곡고),25,0.174,102,86,15,2,0,1,18,8,8,22,0.237,0.233,0
526,박석영(화순고),17,0.174,56,46,8,0,0,0,6,5,5,10,0.25,0.174,5
528,최성빈(상우고),15,0.173,63,52,9,0,0,0,2,7,10,14,0.302,0.173,20
529,김다빈(대전고),23,0.172,69,58,10,0,0,0,6,6,7,14,0.254,0.172,0
530,최지민(제물포고),16,0.171,41,35,6,2,1,0,5,3,4,8,0.25,0.286,0
530,최정훈(영선고),16,0.171,43,35,6,1,1,0,2,3,7,10,0.31,0.257,1
530,배진호(진영고),16,0.171,45,41,7,0,1,0,1,4,3,15,0.227,0.22,1
530,이찬영(부산공고),14,0.171,50,41,7,2,0,0,4,7,7,9,0.292,0.22,0
530,최유준(대전제일고),15,0.171,40,35,6,0,0,0,1,5,3,8,0.237,0.171,0
535,김태양(송탄제일고),18,0.17,60,47,8,2,1,0,11,5,11,15,0.317,0.255,6
535,조우형(글로벌선진학교),14,0.17,53,47,8,1,1,0,3,2,6,14,0.264,0.234,0
537,곽건희(광주제일고),20,0.169,83,65,11,2,1,2,9,12,14,29,0.309,0.323,2
537,이대건(경북고),27,0.169,98,77,13,0,0,2,9,11,17,30,0.316,0.247,0
539,노경민(부경고),15,0.167,38,30,5,0,0,1,4,4,8,9,0.342,0.267,1
539,박희찬(충훈고),14,0.167,56,48,8,2,1,0,5,12,8,10,0.286,0.25,0
539,강동수(마산고),15,0.167,42,36,6,2,0,0,5,2,5,11,0.268,0.222,1
539,고다현(대전제일고),15,0.167,58,48,8,2,0,0,4,5,8,10,0.286,0.208,6
539,이예찬(글로벌선진학교),14,0.167,54,42,7,0,0,0,5,5,12,20,0.352,0.167,2
544,김태훈(서울디자인고),17,0.164,73,61,10,0,2,0,5,5,10,13,0.278,0.23,2
545,김태형(영선고),16,0.163,46,43,7,1,0,0,4,0,3,5,0.217,0.186,1
545,손성민(청원고),17,0.163,54,49,8,1,0,0,1,3,5,11,0.241,0.184,0
547,이성원(장충고),19,0.161,82,62,10,0,2,1,9,11,16,18,0.325,0.274,3
548,이용훈(인창고),14,0.156,49,45,7,0,1,1,6,2,4,22,0.224,0.267,3
548,노민우(대전제일고),15,0.156,52,45,7,0,2,0,1,3,4,10,0.224,0.244,0
548,조장우(부산고),15,0.156,57,45,7,3,0,0,3,3,7,5,0.269,0.222,0
548,이남규(대전제일고),15,0.156,54,45,7,0,0,0,2,4,7,9,0.264,0.156,2
552,구본석(울산공고),13,0.154,46,39,6,2,0,0,3,3,4,13,0.233,0.205,1
552,백진규(대전제일고),15,0.154,43,39,6,0,1,0,2,1,3,10,0.214,0.205,0
552,김동천(배명고),23,0.154,79,65,10,0,0,0,4,8,4,14,0.2,0.154,5
