순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
1022,정연원(부산정보고),15,0,3,3,0,0,0,0,1,0,0,0,0,0,0
1022,김준희(울산공고),13,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,정승혁(군산상고),24,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,강진우(마산고),15,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,김동환(물금고),13,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1022,최건(장충고),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김태원(군산상고),24,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,배재훈(전주고),16,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1022,김창우(서울디자인고),17,0,7,6,0,0,0,0,1,0,0,1,0,0,0
1022,신민혁(야탑고),23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,진철호(경동고),18,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,홍성현(경주고),16,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,정윤구(부경고),15,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,이준학(진영고),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이태현(제주고),17,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1022,김현서(세광고),20,0,4,4,0,0,0,0,0,0,0,1,0,0,0
1022,김홍윤(상원고),18,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,조연우(서울디자인고),17,0,4,3,0,0,0,0,1,1,0,1,0,0,0
1022,이민재(서울고),31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김한결(장충고),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,백종윤(서울고),31,0,5,3,0,0,0,0,1,1,1,1,0.25,0,0
1022,김윤수(북일고),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이세상(김해고),13,0,5,5,0,0,0,0,0,0,0,1,0,0,0
1022,조성우(중앙고),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,홍승기(경동고),18,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,박범진(마산용마고),28,0,5,4,0,0,0,0,0,1,1,1,0.2,0,1
1022,최진완(배명고),23,0,3,1,0,0,0,0,0,1,0,0,0,0,0
1022,김군철(경동고),18,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1022,박용민(덕수고),30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,고경표(경북고),27,0,2,2,0,0,0,0,0,2,0,1,0,0,0
1022,조효준(강릉고),17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김이수(영문고),13,0,2,2,0,0,0,0,0,0,0,1,0,0,0
1022,최성민(장안고),17,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,장민호(중앙고),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,박정원(군산상고),24,0,16,13,0,0,0,0,1,0,3,3,0.188,0,0
1022,이주호(청원고),17,0,5,5,0,0,0,0,0,0,0,3,0,0,0
1022,안희찬(동산고),24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이준재(소래고),18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
